LastName ,FirstName,ArtistGender,Title,Year,InteriorExterior ,Category,CategoryNum,Object Type,Material,MaterialNum,Neighborhood,NeighborhoodNum
Dorrien,Carlos,Male ,"""Alewife Portals""",1997,Exterior ,Sculpture ,3,Stone,Granite ,1,Alewife/North Cambridge,1
Davis,Taylor,Female ,"""Bus Shelter""",2006,Exterior ,Sculpture,3,Mixed media  ,"Glass, wood, aluminum",3,Alewife/North Cambridge,1
Gunther,Virgina,Female ,"""Flag Gate""",1997,Exterior ,Sculpture ,3,Metal,Steel,1,Alewife/North Cambridge,1
Goldman,Jane,Female,"""Patchwork Oasis""",2001,Exterior ,Sculpture ,3,Concrete ,Concrete pavers ,1,Alewife/North Cambridge,1
Beatty,Michael,Male ,"""Spectrum""",2001,Interior ,Sculpture ,3,Mixed media,"Wood, steel ",2,Alewife/North Cambridge,1
Selvage,Nancy,Female ,"""Water Wall""",2007,Exterior ,Sculpture ,3,Metal ,Steel,1,Alewife/North Cambridge,1
Evans,Laura,Female   ,"""Altered Benches""",2007,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Area IV/The Port,2
Tagiuri,John,Male ,"""Chairs and Endless Lamps""",2002,Exterior ,Sculpture ,3,"Concrete, Metal","Concrete, Metal ",2,Area IV/The Port,2
Gregory,Jack,Male ,"""Children's Collaborative Mural""",1983,Interior,Sculpture,3,Tiles-Ceramic,Clay,1,Area IV/The Port,2
Speiser,Ken,Male ,"""Hearth""",2007,Exterior ,Scuplture ,3,"Brick, steel ",Brick and steel ,2,Area IV/The Port,2
Fair,Tory,Female ,"""Hopscotch""",2007,Exterior ,Sculpture ,3,"Foam, fiberglass ","Foam, fiberglass",2,Area IV/The Port,2
Maduna,Vusumuzi,Male ,"""Inner City Totem II""",1983,Exterior ,Sculpture ,3,Mixed media ,"Steel, wood ",2,Area IV/The Port,2
Cauthen,Gene,Male ,"""Park Bench Group""",1985,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Area IV/The Port,2
Inglese,Judith,Female ,"""Play is Child's Work""",1983,Interior ,Sculpture,3,Tiles-Ceramic,Ceramic ,1,Area IV/The Port,2
Cauthen,Gene,Male ,"""Pole Climbers""",1986,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Area IV/The Port,2
Hurley,Arnold,Male ,"""Project Adventure""",1983,Interior ,Mural,2,Painting ,Acrylic on masonite ,2,Area IV/The Port,2
Slosberg-Ackerman,Jill,Female,"""Rei""",2004,Exterior ,Sculpture ,3,Metal ,Steel ,1,Area IV/The Port,2
Uchida,Bart,Male ,"""Rose Arbor""",2004,Exterior ,Sculpture ,3,Metal  ,Steel,1,Area IV/The Port,2
Galston,Beth,Female ,"""Shadow Walk"" (formerly ""Sun Arc"")",1984,Exterior ,Sculpture ,3,Metal-Steel,Steel ,1,Area IV/The Port,2
Cauthen,Gene,Male ,"""Trellis""",1986,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Area IV/The Port,2
Cauthen,Gene,Male ,"""Workers""",1986,Exterior ,Sculpture ,3,Bronze ,Bronze ,1,Area IV/The Port,2
Basa,Lynn,Female,"""A Long Story""",2013,Interior,Sculpture,3,"Stained glass, mixed media","Stained glass, mixed media",2,Central Square/Cambridgeport,3
LaCasse,Bernard,Male ,"""Beat the Belt""",1980,Exterior ,Mural ,2,Painting ,Acrylic on masonry ,2,Central Square/Cambridgeport,3
Whitman,Heidi,Female,"""Brain Terrain""",2008,Exterior ,Sculpture ,3,Mosaic-Glass Tiles ,Glass tiles ,1,Central Square/Cambridgeport,3
Rosenberg,Lilli Ann,Female ,"""Celebrating the Marshland""",1982,Exterior ,Sculpture ,3,"Mosaic-Mixed Media, Ceramic Tiles ","Shells, glass, mortar",3,Central Square/Cambridgeport,3
Galvez,Daniel,Male ,"""Crossroads""",1986,Exterior ,Mural,2,Painting ,Acrylic enamel on concrete ,2,Central Square/Cambridgeport,3
Powell,John,Male ,"""Dana Park Quotes""",2007,Exterior ,Sculpture ,3,Metal ,Aluminum ,1,Central Square/Cambridgeport,3
