Last Name ,First Name,Artist Gender,Title,Year,Interior/ Exterior ,Category,Object Type,Material
Basa,Lynn,Female,"""A Long Story""",2013,Interior,Sculpture,"Stained Glass, mixed media","Stained Glass, mixed media"
Dorrien,Carlos,Male ,"""Alewife Portals""",1997,Exterior ,Sculpture ,Stone,Granite 
Evans,Laura,Female   ,"""Altered Benches""",2007,Exterior ,Sculpture ,Bronze ,Bronze 
Lyman ,Mela,Female ,"""Anxiety of Beauty: Revisiting the Fountian of Youth Mural""",2009,Exterior ,Mural ,Painting,Acrylic paint on MDO board
Phillips,David,Male ,"""Beach Fragments""",1986,Exterior ,Sculpture ,Bronze,"Silicon bronze, brick "
Simonds,Nancy,Female,"""Beacon of Color""",2011,Exterior ,Mural,Painting,Acrylic on Sintra
LaCasse,Bernard,Male ,"""Beat the Belt""",1980,Exterior ,Mural ,Painting ,Acrylic on masonry 
Whitman,Heidi,Female,"""Brain Terrain""",2008,Exterior ,Sculpture ,Mosaic-Glass Tiles ,Glass tiles 
Judelson,David,Male ,"""Brickworker and Ballplayer""",1983,Exterior ,Sculpture ,Masonary ,Handmade brick 
Davis,Taylor,Female ,"""Bus Shelter""",2006,Exterior ,Sculpture,Mixed media  ,"Glass, wood, aluminum"
Turre,Michele,Female,"""Cambridge and its Watershed""",1983,Interior ,Mural,Painting ,Acrylic on masonite 
Fichter,David,Male ,"""Cambridge Senior Center Mural""",1986,Interior ,Mural,Paintings  ,Acrylic on concrete 
Rosenberg,Lilli Ann,Female ,"""Celebrating the Marshland""",1982,Exterior ,Sculpture ,"Mosaic-Mixed Media, Ceramic Tiles ","Shells, glass, mortar"
Gerakaris,Dimitri,Male ,"""Centanni Way Garden Sculpture""",1989,Exterior ,Sculpture ,Metal-Painted Wrought Iron,Paint and wrought iron
Tagiuri,John,Male ,"""Chairs and Endless Lamps""",2002,Exterior ,Sculpture ,"Concrete, Metal",Concrete 
Gregory,Jack,Male ,"""Children's Collaborative Mural""",1983,Interior?,Sculpture,Tiles-Ceramic,Clay
McKie,Todd,Male ,"""C'mon In The Water's Fine!""",2006,Exterior,Mural,Painting,Acrylic on concrete 
Galvez,Daniel,Male ,"""Crossroads""",1986,Exterior ,Mural,Painting ,Acrylic enamel on concrete 
Powell,John,Male ,"""Dana Park Quotes""",2007,Exterior ,Sculpture ,Metal ,Aluminum 
Andrews,Edwin,Male ,"""Dot Matrix""",2004,Exterior ,Sculpture ,Mixed media  ,"Aluminum, Plexiglas"
